127.0.0.1 - - [02/Apr/2014:08:37:56 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:38:00 +0530] "GET /e_mandi/admin.jsp HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:38:00 +0530] "GET /e_mandi/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:38:09 +0530] "POST /e_mandi/itemReg.jsp HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:41:53 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:42:04 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:42:04 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:42:04 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:42:09 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:42:26 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:43:53 +0530] "GET /e_mandi/admin.jsp HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [02/Apr/2014:08:43:57 +0530] "POST /e_mandi/itemReg.jsp HTTP/1.1" 200 4028
